FrameNum, Time [ms], Vection Response (0:no, 1: yes )
319,5338.168,0,
320,5355.986,0,
321,5371.233,0,
322,5388.967,0,
323,5405.674,0,
324,5422.403,0,
325,5438.683,0,
326,5456.212,0,
327,5471.424,0,
328,5489.251,0,
329,5504.419,0,
330,5522.271,0,
331,5538.361,0,
332,5555.033,0,
333,5572.938,0,
334,5587.616,0,
335,5605.908,0,
336,5621.738,0,
337,5639.513,0,
338,5654.765,0,
339,5670.982,0,
340,5688.122,0,
341,5706.204,0,
342,5722.577,0,
343,5737.931,0,
344,5754.917,0,
345,5773.77,0,
346,5788.894,0,
347,5804.225,0,
348,5821.736,0,
349,5839.508,0,
350,5854.654,0,
351,5873.254,0,
352,5888.933,0,
353,5904.251,0,
354,5922.278,0,
355,5937.993,0,
356,5955.588,0,
357,5971.525,0,
358,5988.128,0,
359,6005.9,0,
360,6021.652,0,
361,6039.118,0,
362,6054.866,0,
363,6071.258,0,
